22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/245__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/25___,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/209_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,730/263_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,730/263_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,730/263_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/425__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/227_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/85___,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,10/25___,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/404_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,730/236_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/230_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/125__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,730/399_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,10/45___,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota_roja
